repo_name,readme_length,github_wiki_length,readme_completeness,docstring_coverage,documentation_percentage,documentation_up_to_date,documentation_readability,code_examples_ratio
CryptoPyX,3082,0,0.2,0.2222222222222222,0.1535022354694485,0.0,20.6240349002849,0.0
cryptshield,6343,0,0.4,0.75,0.2223974763406939,0.0,20.01165129151292,0.0
curlreq,385,0,0.0,0.6333333333333333,0.234375,0.0224719101123595,0.0,0.0
cvss,2399,0,0.1333333333333333,0.6881720430107527,0.172258064516129,0.1724137931034483,36.284563674321504,0.0
CyberNinja,6325,0,0.5333333333333333,0.803030303030303,0.393399685699319,0.0,25.378072009291525,0.0
cyclonedx-python,7060,0,0.3333333333333333,0.1019736842105263,0.2333681644026471,0.0144927536231884,16.607019007342114,0.0
cyclonedx-python-lib,4328,0,0.4,0.2688223938223938,0.2393868487655795,0.06963249516441,18.446966972926912,0.0
czds,5445,0,0.2666666666666666,0.7,0.2197802197802197,0.3333333333333333,16.574787581699344,0.0
D2-Python,39302,0,0.6,0.6225099601593626,0.1818954738684671,0.0609756097560975,16.393696427253506,0.0
data-safe-haven,39047,0,0.2,0.2725321888412017,0.0684864457831325,0.0082304526748971,19.351601251549507,0.0
Deep-Dir,8511,0,0.4666666666666667,0.771186440677966,0.1270842721946823,0.0,34.076826156299845,0.0
DeepRecon,11368,0,0.5333333333333333,0.0,0.0017196904557179,0.2386363636363636,39.53789941902687,0.0
dep-hallucinator,3212,0,0.3333333333333333,0.9311531841652324,0.1510290986515259,0.0,28.561706549118387,0.0
devdotenv-python,6843,0,0.2666666666666666,0.99,0.2849298352654057,0.0,17.88075474369867,0.0
DeviceFingerprinting,41885,0,0.6666666666666666,0.8584070796460178,0.1870036101083032,0.1173184357541899,36.90132757773287,0.0
devtools-py,14478,0,0.2666666666666666,0.885112168592794,0.1988560787443469,0.0154440154440154,36.28569508026929,0.0
dicewarepy,9494,0,0.2,0.8035714285714286,0.1813380281690141,0.0217391304347826,17.534841772151903,0.0
dipense,5165,0,0.2,0.2677595628415301,0.1750710227272727,0.0121951219512195,10.635795120861944,0.0
DisCapTy,5113,0,0.1333333333333333,0.5177304964539007,0.359253499222395,0.3157894736842105,15.36874481342006,0.0
django-agent-trust,3347,0,0.2,0.1597222222222222,0.126465661641541,0.0549450549450549,13.197809583223364,0.0
django-axes,2498,0,0.2666666666666666,0.144578313253012,0.1131712676830105,0.0443458980044345,16.358982261504902,0.0
django-ca,1871,0,0.1333333333333333,0.7753357753357755,0.2088742413890117,0.0553319919517102,14.342607771752522,0.0
django-ca-cmc,5957,0,0.1333333333333333,0.7967479674796748,0.1399904443382704,0.0140845070422535,13.867930830039526,0.0
django-cryptography,1786,0,0.1333333333333333,0.1102362204724409,0.0564024390243902,0.140625,22.17396260829913,0.0
django-dysession,8173,0,0.2,0.0988372093023255,0.0547067520946278,0.02,16.842533835082858,0.0
django-fast-iprestrict,11374,0,0.2666666666666666,0.0,0.0202702702702702,0.0387596899224806,18.58592745799154,0.0
django-guardian,3559,0,0.2666666666666666,0.2807183364839319,0.1720042098932491,0.0960548885077186,16.142730255275065,0.0
django-guardian,3559,0,0.2666666666666666,0.2807183364839319,0.1720042098932491,0.0960548885077186,16.142730255275065,0.0
django-oauth2-authcodeflow,14893,0,0.4,0.0909090909090909,0.04641940751108,0.08,19.35034310089021,0.0
django-oauth2-codeflow,14709,0,0.4,0.0909090909090909,0.0463795551348793,0.08,19.415097532989098,0.0
django-otp,6528,0,0.2,0.245798319327731,0.222999641191245,0.1538461538461538,14.219253309718162,0.0
django-otp-agents,2290,0,0.1333333333333333,0.1311475409836065,0.1343873517786561,0.048780487804878,12.73959366024891,0.0
django-otp-messagebird,675,0,0.0666666666666666,0.2459016393442623,0.121580547112462,0.2222222222222222,18.995066883586407,0.0
django-otp-signal,683,0,0.0666666666666666,0.2325581395348837,0.1027667984189723,0.2,17.580182767624027,0.0
django-otp-twilio,2230,0,0.1333333333333333,0.2244897959183673,0.0964083175803402,0.1875,12.357887879512312,0.0
